Fecha;Último;puntos;calificacion
10-01-2023;17439,1;26;Fear
09-01-2023;17180,1;25;Extreme Fear
08-01-2023;17119,0;25;Extreme Fear
07-01-2023;16943,6;25;Extreme Fear
06-01-2023;16950,9;26;Fear
05-01-2023;16829,8;29;Fear
04-01-2023;16852,1;29;Fear
03-01-2023;16674,2;26;Fear
02-01-2023;16674,3;27;Fear
01-01-2023;16618,4;26;Fear
31-12-2022;16537,4;25;Extreme Fear
30-12-2022;16607,2;28;Fear
29-12-2022;16636,4;28;Fear
28-12-2022;16546,2;28;Fear
27-12-2022;16706,1;27;Fear
26-12-2022;16918,1;28;Fear
25-12-2022;16831,8;29;Fear
24-12-2022;16837,2;29;Fear
23-12-2022;16779,1;27;Fear
22-12-2022;16820,6;28;Fear
21-12-2022;16831,8;26;Fear
20-12-2022;16902,8;29;Fear
19-12-2022;16441,3;29;Fear
18-12-2022;16741,1;26;Fear
17-12-2022;16777,1;28;Fear
16-12-2022;16629,6;29;Fear
15-12-2022;17356,1;31;Fear
14-12-2022;17796,4;30;Fear
13-12-2022;17778,6;27;Fear
12-12-2022;17210,4;27;Fear
11-12-2022;17093,3;26;Fear
10-12-2022;17127,2;27;Fear
09-12-2022;17125,7;26;Fear
08-12-2022;17225,7;25;Extreme Fear
07-12-2022;16835,2;29;Fear
06-12-2022;17089,3;25;Extreme Fear
05-12-2022;16966,5;26;Fear
04-12-2022;17112,6;26;Fear
03-12-2022;16884,5;27;Fear
02-12-2022;17093,6;27;Fear
01-12-2022;16972,0;27;Fear
30-11-2022;17163,9;29;Fear
29-11-2022;16440,4;26;Fear
28-11-2022;16211,7;28;Fear
27-11-2022;16425,6;26;Fear
26-11-2022;16456,5;22;Extreme Fear
25-11-2022;16512,3;20;Extreme Fear
24-11-2022;16601,2;20;Extreme Fear
23-11-2022;16623,9;22;Extreme Fear
22-11-2022;16212,9;22;Extreme Fear
21-11-2022;15776,2;21;Extreme Fear
20-11-2022;16286,7;24;Extreme Fear
19-11-2022;16699,2;23;Extreme Fear
18-11-2022;16638,3;23;Extreme Fear
17-11-2022;16691,2;20;Extreme Fear
16-11-2022;16540,5;23;Extreme Fear
15-11-2022;16895,1;22;Extreme Fear
14-11-2022;16613,7;24;Extreme Fear
13-11-2022;16324,5;22;Extreme Fear
12-11-2022;16795,2;21;Extreme Fear
11-11-2022;17049,9;25;Extreme Fear
10-11-2022;17589,1;22;Extreme Fear
09-11-2022;15886,9;29;Fear
08-11-2022;18527,4;31;Fear
07-11-2022;20589,0;33;Fear
06-11-2022;20916,3;40;Fear
05-11-2022;21301,6;38;Fear
04-11-2022;21145,9;30;Fear
03-11-2022;20206,4;30;Fear
02-11-2022;20154,4;30;Fear
01-11-2022;20483,5;30;Fear
31-10-2022;20496,3;31;Fear
30-10-2022;20626,3;34;Fear
29-10-2022;20809,8;34;Fear
28-10-2022;20594,4;30;Fear
27-10-2022;20292,9;32;Fear
26-10-2022;20769,5;33;Fear
25-10-2022;20082,7;20;Extreme Fear
24-10-2022;19331,5;22;Extreme Fear
23-10-2022;19571,2;23;Extreme Fear
22-10-2022;19204,8;20;Extreme Fear
21-10-2022;19162,6;23;Extreme Fear
20-10-2022;19042,9;23;Extreme Fear
19-10-2022;19123,9;23;Extreme Fear
18-10-2022;19328,2;22;Extreme Fear
17-10-2022;19548,2;20;Extreme Fear
16-10-2022;19261,9;24;Extreme Fear
15-10-2022;19068,7;24;Extreme Fear
14-10-2022;19181,8;24;Extreme Fear
13-10-2022;19379,8;20;Extreme Fear
12-10-2022;19154,8;20;Extreme Fear
11-10-2022;19059,1;24;Extreme Fear
10-10-2022;19134,6;22;Extreme Fear
09-10-2022;19441,0;22;Extreme Fear
08-10-2022;19415,0;24;Extreme Fear
07-10-2022;19531,3;23;Extreme Fear
06-10-2022;19956,7;26;Fear
05-10-2022;20157,5;25;Extreme Fear
04-10-2022;20340,2;20;Extreme Fear
03-10-2022;19628,3;24;Extreme Fear
02-10-2022;19052,2;24;Extreme Fear
01-10-2022;19311,9;20;Extreme Fear
30-09-2022;19423,0;21;Extreme Fear
29-09-2022;19593,0;22;Extreme Fear
28-09-2022;19411,0;20;Extreme Fear
27-09-2022;19081,0;20;Extreme Fear
26-09-2022;19225,7;21;Extreme Fear
25-09-2022;18803,2;24;Extreme Fear
24-09-2022;18925,2;24;Extreme Fear
23-09-2022;19293,5;20;Extreme Fear
22-09-2022;19404,0;22;Extreme Fear
21-09-2022;18489,0;23;Extreme Fear
20-09-2022;18872,4;23;Extreme Fear
19-09-2022;19538,9;21;Extreme Fear
18-09-2022;19418,8;27;Fear
17-09-2022;20113,5;22;Extreme Fear
16-09-2022;19802,4;20;Extreme Fear
15-09-2022;19701,7;28;Fear
14-09-2022;20222,5;27;Fear
13-09-2022;20175,5;34;Fear
12-09-2022;22395,3;25;Extreme Fear
11-09-2022;21834,9;26;Fear
10-09-2022;21650,4;28;Fear
09-09-2022;21365,2;22;Extreme Fear
08-09-2022;19317,4;20;Extreme Fear
07-09-2022;19281,5;24;Extreme Fear
06-09-2022;18786,4;22;Extreme Fear
05-09-2022;19793,1;23;Extreme Fear
04-09-2022;19999,9;20;Extreme Fear
03-09-2022;19831,4;21;Extreme Fear
02-09-2022;19952,7;25;Extreme Fear
01-09-2022;20126,1;20;Extreme Fear
31-08-2022;20043,9;23;Extreme Fear
30-08-2022;19792,6;27;Fear
29-08-2022;20295,8;24;Extreme Fear
28-08-2022;19550,2;28;Fear
27-08-2022;20033,9;28;Fear
26-08-2022;20249,9;27;Fear
25-08-2022;21565,4;25;Extreme Fear
24-08-2022;21365,2;25;Extreme Fear
23-08-2022;21517,2;28;Fear
22-08-2022;21416,3;29;Fear
21-08-2022;21517,2;27;Fear
20-08-2022;21138,9;29;Fear
19-08-2022;20831,3;33;Fear
18-08-2022;23203,6;30;Fear
17-08-2022;23338,0;41;Fear
16-08-2022;23856,8;44;Fear
15-08-2022;24101,7;45;Fear
14-08-2022;24302,8;47;Neutral
13-08-2022;24442,5;46;Fear
12-08-2022;24398,7;42;Fear
11-08-2022;23935,3;41;Fear
10-08-2022;23962,9;31;Fear
09-08-2022;23146,7;42;Fear
08-08-2022;23816,3;30;Fear
07-08-2022;23175,3;30;Fear
06-08-2022;22944,2;31;Fear
05-08-2022;23308,2;31;Fear
04-08-2022;22612,1;30;Fear
03-08-2022;22820,8;34;Fear
02-08-2022;22988,6;31;Fear
01-08-2022;23271,2;33;Fear
31-07-2022;23303,4;39;Fear
30-07-2022;23634,2;42;Fear
29-07-2022;23774,3;39;Fear
28-07-2022;23850,0;32;Fear
27-07-2022;22958,3;28;Fear
26-07-2022;21248,7;26;Fear
25-07-2022;21301,9;30;Fear
24-07-2022;22582,1;30;Fear
23-07-2022;22460,4;31;Fear
22-07-2022;22675,2;33;Fear
21-07-2022;23153,0;34;Fear
20-07-2022;23215,2;31;Fear
19-07-2022;23410,2;30;Fear
18-07-2022;22525,8;20;Extreme Fear
17-07-2022;20785,6;24;Extreme Fear
16-07-2022;21209,9;21;Extreme Fear
15-07-2022;20825,1;15;Extreme Fear
14-07-2022;20586,0;18;Extreme Fear
13-07-2022;20250,0;15;Extreme Fear
12-07-2022;19330,9;16;Extreme Fear
11-07-2022;19963,2;22;Extreme Fear
10-07-2022;20847,4;24;Extreme Fear
09-07-2022;21587,5;24;Extreme Fear
