Y (compra/vende),X1=precio,X2=puntos
2,11900.8,79
0,11163.1,76
0,10970.2,67
0,11268,72
0,11415.9,67
2,12252.6,74
2,12541.5,84
0,12110.6,83
0,11342.3,62
0,11762.1,33
0,11364.9,65
1,10200.1,61
0,10845.9,16
1,9424.8,34
0,9723.2,19
0,10651.4,40
0,10571.5,42
0,10826.7,34
0,10714.4,42
0,10412.5,42
1,9888.7,40
0,9804.3,20
1,9945.3,42
0,9831,24
1,9492.1,47
1,9727.8,16
1,9580.9,19
0,9580.7,22
0,10082,31
0,10380,57
0,10520.1,61
0,10815.7,61
0,10934.6,62
0,11816.8,64
0,11480.9,66
0,12013.9,45
0,12191.6,61
0,12089.8,60
0,11314.5,59
0,11517.2,45
0,11394.2,48
1,10892.9,45
1,10049.4,11
0,10303.4,13
1,10335.6,31
1,10218.1,20
0,10312.7,14
0,10910.7,30
1,10752.6,39
1,10141.5,11
0,10105,5
0,10388.7,33
0,10131,39
0,10136.3,33
0,10371.8,41
0,10184.8,30
1,9729.4,32
1,9491,20
1,9585.4,24
1,9594.4,20
0,9729.3,24
0,10348.8,28
0,10612.3,41
0,10568.2,43
0,10566.9,41
0,10309.3,43
0,10461.1,39
0,10402.8,43
0,10309,41
0,10105.4,41
0,10162.5,38
0,10415.1,39
0,10342.1,38
0,10337.3,39
0,10311.5,38
0,10255.5,38
0,10195.7,41
0,10164.7,38
0,10250.5,31
0,10172.7,41
0,9993,37
0,10031.6,37
0,9702.2,41
1,8513.9,39
1,8432.4,15
1,8063.8,12
0,8184.9,24
0,8208.5,32
0,8049.1,33
0,8284.3,27
0,8302.7,38
0,8364.1,39
0,8226.9,37
0,8148.1,30
0,8127.3,31
0,7881.9,32
0,8198.6,27
0,8182.9,39
0,8566.7,37
0,8562.3,41
0,8267.8,39
0,8304.4,38
0,8281.5,38
0,8353.3,37
0,8167.2,39
0,8000.4,40
0,8073.3,40
0,7948.5,40
0,7957.3,41
0,8223.4,37
0,8208.2,37
0,8031.4,39
1,7477,33
1,7422.7,20
0,8658.3,24
0,9230.6,53
0,9529.6,50
0,9207.2,52
0,9411.3,54
0,9157.9,53
0,9152.6,50
0,9230.1,49
0,9300.6,51
0,9198.3,56
0,9396.4,49
0,9310.8,54
0,9338.9,53
0,9223.5,54
0,8778.2,42
0,8804.5,38
0,9036.8,39
0,8736.9,40
0,8812.6,39
0,8783.1,38
0,8661.2,41
0,8476.3,38
0,8497.3,41
0,8509.8,38
0,8208.4,38
0,8145.7,32
0,8099.3,32
1,7627.9,30
1,7272.5,20
1,7324.1,23
1,6924.7,21
1,7115.6,17
1,7162.8,21
0,7510.6,20
0,7426.7,32
0,7742.7,31
1,7546.6,38
0,7396.4,25
0,7298.2,28
1,7291.8,28
1,7204.4,24
0,7399.2,21
0,7530.8,29
0,7510.9,32
0,7524.4,28
0,7355.8,32
1,7235.7,26
1,7208,20
1,7208,23
